73.0,79.0,0.89,100.0,80.0,0.0
56.0,4.0,0.95,100.0,86.0,0.0
48.0,35.0,0.84,100.0,87.0,0.0
60.0,98.0,0.96,100.0,83.0,0.0
74.0,72.0,0.96,100.0,84.0,0.0
63.0,44.0,0.83,100.0,86.0,0.0
61.0,48.0,0.82,100.0,80.0,0.0
84.0,59.0,0.97,100.0,90.0,0.0
20.0,76.0,0.9,100.0,75.0,0.0
56.0,41.0,0.88,100.0,91.0,0.0
5.0,18.0,0.94,100.0,76.0,0.0
70.0,50.0,0.92,100.0,87.0,0.0
56.0,98.0,0.89,100.0,82.0,0.0
48.0,53.0,0.96,100.0,88.0,0.0
5.0,80.0,0.94,100.0,81.0,0.0
35.0,91.0,0.84,100.0,93.0,0.0
33.0,12.0,0.86,100.0,95.0,0.0
82.0,15.0,0.92,100.0,80.0,0.0
6.0,84.0,0.89,100.0,93.0,0.0
90.0,28.0,0.85,100.0,95.0,0.0
