72,12,5,15
0,28,27,6
71,75,85,22
47,93,17,57
31,23,32,45
62,10,15,22
68,39,37,31
19,44,77,68
60,29,79,39
15,56,49,84
1,31,96,44
85,26,34,7
75,50,65,1
53,70,41,17
34,40,22,41
63,79,56,56
28,99,4,10
7,66,42,98
96,7,24,3
60,45,83,63
49,53,29,6
76,88,76,91
33,2,88,38
42,81,51,91
62,23,93,41
98,87,18,57
90,90,16,30
77,90,32,17
70,4,28,49
84,35,28,32
69,54,64,61
73,84,56,5
46,38,35,38
14,82,92,2
90,52,82,44
41,99,35,54
67,19,79,13
80,32,54,56
33,34,33,27
28,87,60,83
8,10,75,50
43,77,61,49
98,79,85,60
76,63,67,8
44,60,27,51
41,84,84,27
62,91,0,87
68,13,5,63
59,3,52,26
48,11,65,91
74,68,37,56
27,84,27,57
72,19,95,79
57,31,17,74
99,17,70,2
71,48,25,49
31,39,88,88
35,42,68,49
25,57,10,72
47,34,43,64
34,68,66,76
80,77,17,20
23,60,53,15
40,10,54,90
70,55,95,36
89,4,85,93
96,46,11,27
9,26,62,35
68,96,59,51
70,2,12,83
68,65,8,13
6,5,90,7
82,33,43,21
89,53,93,12
45,5,34,17
22,32,0,25
78,67,77,84
88,93,51,89
90,39,0,3
22,16,59,74
37,36,48,61
84,26,62,99
26,55,8,59
87,93,17,33
56,84,67,47
92,94,35,13
49,19,11,6
32,75,75,45
87,72,58,65
39,70,19,46
93,51,75,43
24,81,49,35
71,42,20,62
33,66,81,14
14,6,55,24
27,36,50,67
94,17,27,10
34,41,50,18
59,30,87,56
71,30,9,50
