99.0,78.0,0.83
61.0,16.0,0.94
73.0,8.0,0.95
62.0,27.0,0.86
30.0,80.0,0.96
7.0,76.0,0.89
15.0,53.0,0.88
80.0,27.0,0.84
44.0,77.0,0.87
75.0,65.0,0.96
47.0,30.0,0.96
84.0,86.0,0.87
18.0,9.0,0.92
41.0,62.0,0.95
1.0,82.0,0.97
16.0,78.0,0.87
5.0,58.0,0.96
0.0,80.0,0.92
4.0,36.0,0.93
51.0,27.0,0.91
31.0,2.0,0.81
68.0,38.0,0.95
83.0,19.0,0.98
18.0,7.0,0.89
30.0,62.0,0.9
11.0,67.0,0.89
65.0,55.0,0.89
3.0,91.0,0.81
78.0,27.0,0.98
29.0,33.0,0.87
89.0,85.0,0.96
7.0,16.0,0.94
94.0,14.0,0.85
90.0,31.0,0.8
9.0,38.0,0.96
47.0,16.0,0.84
5.0,34.0,0.94
45.0,59.0,0.84
24.0,13.0,0.89
31.0,32.0,0.99
76.0,44.0,0.82
5.0,14.0,0.84
47.0,94.0,0.86
82.0,0.0,0.89
7.0,86.0,0.99
16.0,64.0,0.99
8.0,90.0,0.98
44.0,37.0,0.97
94.0,75.0,0.87
5.0,22.0,0.84
52.0,69.0,0.92
82.0,60.0,0.93
91.0,29.0,0.91
88.0,97.0,0.91
92.0,79.0,0.83
70.0,35.0,0.81
20.0,49.0,0.83
72.0,32.0,0.94
82.0,13.0,0.81
92.0,18.0,0.87
52.0,81.0,0.96
22.0,58.0,0.94
83.0,92.0,0.89
83.0,49.0,0.86
4.0,82.0,0.95
36.0,41.0,0.96
20.0,32.0,0.85
10.0,31.0,0.82
15.0,22.0,0.93
70.0,9.0,0.93
63.0,94.0,0.91
14.0,66.0,0.88
57.0,19.0,0.8
64.0,8.0,0.92
8.0,71.0,0.92
12.0,20.0,0.85
59.0,72.0,0.94
74.0,86.0,0.95
72.0,32.0,0.98
15.0,69.0,0.8
35.0,62.0,0.87
43.0,0.0,0.87
2.0,2.0,0.96
91.0,65.0,0.8
45.0,87.0,0.88
1.0,23.0,0.92
50.0,86.0,0.85
19.0,54.0,0.91
24.0,64.0,0.85
77.0,73.0,0.89
1.0,9.0,0.85
64.0,23.0,0.98
39.0,68.0,0.81
81.0,91.0,0.95
36.0,97.0,0.86
87.0,69.0,0.83
36.0,18.0,0.95
34.0,30.0,0.97
77.0,97.0,0.88
35.0,29.0,0.8
