5.0,11.0,0.85,0.0
12.0,8.0,0.91,0.0
9.0,11.0,0.92,0.0
5.0,15.0,0.88,0.0
0.0,16.0,0.89,0.0
1.0,12.0,0.91,0.0
7.0,13.0,0.85,0.0
6.0,18.0,0.95,0.0
5.0,18.0,0.8,0.0
11.0,10.0,0.96,0.0
14.0,18.0,0.81,0.0
4.0,9.0,0.92,0.0
17.0,0.0,0.87,0.0
13.0,9.0,0.93,0.0
9.0,7.0,0.86,0.0
1.0,0.0,0.98,0.0
17.0,8.0,0.85,0.0
13.0,19.0,0.98,0.0
15.0,10.0,0.91,0.0
8.0,7.0,0.9,0.0
3.0,6.0,0.94,0.0
17.0,3.0,0.98,0.0
4.0,17.0,0.84,0.0
11.0,12.0,0.89,0.0
16.0,13.0,0.97,0.0
19.0,9.0,0.8,0.0
18.0,15.0,0.93,0.0
0.0,4.0,0.89,0.0
15.0,2.0,0.89,0.0
7.0,8.0,0.87,0.0
