72,12,5,723
0,28,27,341
71,75,85,243
47,93,17,490
31,23,32,506
62,10,15,413
68,39,37,852
19,44,77,378
60,29,79,131
15,56,49,424
1,31,96,651
85,26,34,568
75,50,65,619
53,70,41,997
34,40,22,850
63,79,56,117
28,99,4,141
7,66,42,796
96,7,24,878
60,45,83,582
49,53,29,743
76,88,76,931
33,2,88,362
42,81,51,266
62,23,93,909
98,87,18,797
90,90,16,130
77,90,32,373
70,4,28,337
84,35,28,329
69,54,64,533
73,84,56,132
46,38,35,929
14,82,92,489
90,52,82,266
41,99,35,102
67,19,79,144
80,32,54,477
33,34,33,753
28,87,60,668
8,10,75,383
43,77,61,846
98,79,85,951
76,63,67,918
44,60,27,149
41,84,84,672
62,91,0,477
68,13,5,108
59,3,52,535
48,11,65,383
