34.0,3.0,0.82,100.0,89.0,0.0
64.0,87.0,0.83,100.0,98.0,0.0
17.0,17.0,0.8,100.0,80.0,0.0
1.0,79.0,0.97,100.0,76.0,0.0
4.0,99.0,0.97,100.0,83.0,0.0
82.0,11.0,0.81,100.0,98.0,0.0
99.0,15.0,0.84,100.0,83.0,0.0
73.0,18.0,0.95,100.0,93.0,0.0
7.0,25.0,0.84,100.0,84.0,0.0
35.0,95.0,0.95,100.0,82.0,0.0
28.0,0.0,0.83,100.0,88.0,0.0
12.0,95.0,0.98,100.0,98.0,0.0
33.0,1.0,0.91,100.0,98.0,0.0
60.0,55.0,0.83,100.0,83.0,0.0
70.0,97.0,0.99,100.0,79.0,0.0
81.0,6.0,0.95,100.0,93.0,0.0
46.0,65.0,0.87,100.0,87.0,0.0
47.0,89.0,0.89,100.0,81.0,0.0
74.0,35.0,0.98,100.0,85.0,0.0
64.0,27.0,0.87,100.0,95.0,0.0
97.0,33.0,0.83,100.0,78.0,0.0
3.0,4.0,0.93,100.0,75.0,0.0
65.0,10.0,0.8,100.0,98.0,0.0
41.0,56.0,0.92,100.0,96.0,0.0
45.0,7.0,0.81,100.0,96.0,0.0
5.0,60.0,0.81,100.0,84.0,0.0
83.0,42.0,0.86,100.0,81.0,0.0
0.0,27.0,0.81,100.0,81.0,0.0
21.0,66.0,0.97,100.0,99.0,0.0
36.0,54.0,0.86,100.0,77.0,0.0
