10.0,73.0,0.9,0.0
99.0,84.0,0.89,0.0
79.0,80.0,0.83,0.0
62.0,25.0,0.9,0.0
1.0,75.0,0.93,0.0
77.0,57.0,0.95,0.0
26.0,33.0,0.9,0.0
68.0,33.0,0.96,0.0
8.0,2.0,0.81,0.0
76.0,84.0,0.91,0.0
91.0,31.0,0.93,0.0
66.0,5.0,0.95,0.0
26.0,15.0,0.81,0.0
89.0,86.0,0.92,0.0
43.0,69.0,0.94,0.0
49.0,4.0,0.84,0.0
62.0,80.0,0.81,0.0
66.0,66.0,0.88,0.0
63.0,19.0,0.82,0.0
85.0,28.0,0.92,0.0
43.0,57.0,0.82,0.0
5.0,50.0,0.85,0.0
26.0,78.0,0.95,0.0
40.0,69.0,0.98,0.0
70.0,90.0,0.91,0.0
63.0,10.0,0.85,0.0
67.0,85.0,0.85,0.0
11.0,1.0,0.97,0.0
82.0,35.0,0.84,0.0
22.0,41.0,0.85,0.0
