19,21,29,25,31
26,16,18,10,23
35,20,27,27,35
20,26,24,22,16
15,21,20,24,24
24,21,4,25,10
18,28,11,2,26
11,34,18,24,10
19,22,13,32,25
24,11,31,28,28
29,23,10,10,30
21,13,22,19,20
23,17,26,17,21
15,19,27,15,15
23,23,12,29,18
38,2,12,23,31
8,23,17,10,20
18,12,15,35,16
31,26,17,19,21
12,15,21,15,18
26,33,30,19,23
25,12,20,14,27
33,14,26,33,10
13,14,23,26,30
16,21,28,8,30
29,9,8,18,19
24,13,14,5,34
9,31,18,26,9
24,24,13,11,16
24,14,7,33,35
9,33,19,18,7
21,13,33,19,21
10,17,30,12,20
29,10,18,20,30
12,28,28,14,37
34,17,14,31,2
32,7,26,19,9
35,17,22,11,12
22,28,27,4,5
22,10,20,11,5
27,21,14,9,20
23,7,19,16,23
7,23,34,24,16
18,29,24,29,25
17,12,23,9,21
25,18,34,27,34
26,28,6,17,23
37,27,4,30,33
25,20,21,33,27
28,10,20,17,35
