73,13,6,1,29
28,72,76,86,48
94,18,32,24,33
63,11,16,69,40
38,20,45,78,61
30,80,16,57,50
2,32,97,86,27
35,76,51,66,54
71,42,35,41,23
64,80,57,29,5
8,67,43,97,8
25,61,46,84,50
54,30,77,89,77
34,3,89,43,82
52,63,24,94,99
88,19,91,91,17
78,91,33,71,5
29,85,36,29,70
55,65,74,85,57
47,39,36,15,83
93,91,53,83,42
36,68,20,80,81
33,55,34,35,34
29,88,61,9,11
76,44,78,62,99
80,86,77,64,68
45,61,28,42,85
85,63,92,1,69
14,6,60,4,53
49,12,66,75,69
38,28,85,28,73
20,96,58,32,18
18,71,72,49,26
32,40,89,36,43
69,26,58,11,48
35,44,35,69,67
81,78,18,24,61
54,41,11,55,71
56,96,90,5,86
97,47,12,10,27
63,69,97,60,71
3,13,69,66,9
7,6,91,83,34
44,90,54,94,46
6,35,23,33,1
79,68,78,89,94
52,91,40,1,23
17,60,38,37,49
85,27,63,27,56
9,88,94,18,57
